name,mid,weight
Prednisolone,/m/02yzx9,463695.0
Sertraline,/m/0136_g,415650.0
Escitalopram,/m/01clpj,356440.0
Metformin,/m/01lmkt,341275.0
Citalopram,/m/01clq8,307279.0
Fluoxetine,/m/0bqx0,302294.0
Bupropion,/m/0219j5,300450.0
Levothyroxine,/m/05h3j6,284462.0
Gabapentin,/m/02fvfb,281901.0
Amphetamine,/m/0_0j,276828.0
Duloxetine,/m/02qr8l,258699.0
Tramadol,/m/01l6z8,255882.0
Amoxicillin/clavulanic acid,/m/03xp6d,252464.0
Amoxicillin,/m/011z0,244395.0
Oxycodone,/m/05q1y,232208.0
Lisinopril,/m/04nl71,224698.0
Hydrocodone,/m/03r3h,220868.0
Doxycycline,/m/030md9,214657.0
Levonorgestrel,/m/031zs3,214385.0
Omeprazole,/m/02gbr5,211597.0
Atorvastatin,/m/02y_rs,210051.0
Metronidazole,/m/01trbt,204776.0
Melatonin,/m/01pxjm,201983.0
Oxycodone/Acetaminophen,/m/0hqw8pq,197234.0
Venlafaxine,/m/02k_rw,196817.0
Naproxen,/m/02hx9d,183127.0
Alprazolam,/m/01k9cw,182226.0
Cannabis,/m/054yc0,180373.0
Zolpidem,/m/01_2s3,171395.0
Phentermine,/m/04nyn1,170183.0
Pregabalin,/m/06yvct,168501.0
Simvastatin,/m/02z428,165048.0
Cetirizine,/m/03t7zn,163050.0
Biotin,/m/0f4ml,162108.0
Sildenafil,/m/07_71,159915.0
Sulfamethoxazole/Trimethoprim,/m/0hqvh78,158172.0
MDMA,/m/02qpq,156701.0
Progesterone,/m/0hk9b,156376.0
Ciprofloxacin,/m/01zfw,149341.0
Topiramate,/m/01qb88,147047.0
Methylphenidate,/m/01d65r,141931.0
Amlodipine,/m/02_0mv,141797.0
Lamotrigine,/m/01zww4,141767.0
Azithromycin,/m/032n3z,134589.0
Hydrocodone/Acetaminophen,/m/04kd1h6,133227.0
Loratadine,/m/025s3l,129152.0
Amitriptyline,/m/02sff3,127634.0
Pseudoephedrine/loratadine,/m/0bmgbll,124204.0
Metoprolol,/m/03g21c,124096.0
Warfarin,/m/01jjmt,123930.0
Paroxetine,/m/0x8qr,123374.0
Ibuprofen,/m/014d3g,123326.0
Aripiprazole,/m/01t6t2,119424.0
Cefalexin,/m/04mdzq,119231.0
Lorazepam,/m/01kcsd,118866.0
Esomeprazole,/m/039ztp,116629.0
Glucocorticoid,/m/02m440,115310.0
Rosuvastatin,/m/02z705,112584.0
HPV vaccine,/m/094j5f,112030.0
Varenicline,/m/0d2_s8,108158.0
Paracetamol,/m/0lbt3,106623.0
Lithium,/m/0d_wbd,105925.0
Clonazepam,/m/035wxl,102149.0
Quetiapine,/m/019bj7,101630.0
Methotrexate,/m/01q2jc,101497.0
Morphine,/m/055pr,99718.0
Diphenhydramine,/m/0256qn,98681.0
Meloxicam,/m/05dgkw,98492.0
Propranolol,/m/019dfq,96824.0
Clomifene,/m/044r6z,96693.0
Risperidone,/m/019bht,96418.0
Diazepam,/m/01j3v_,94959.0
Montelukast,/m/04_ftl,94160.0
Testosterone,/m/07m9q,93971.0
Mirtazapine,/m/02lts4,92790.0
Trazodone,/m/073zsk,91982.0
Ranitidine,/m/04nl3c,91041.0
Fexofenadine,/m/03vtmt,90517.0
Fluticasone propionate,/m/05c5zss,89237.0
Cocaine,/m/0256b,89233.0
Salbutamol,/m/02ck8_,87330.0
Levetiracetam,/m/032vys,85476.0
Minoxidil,/m/027hm4,84456.0
Growth hormone,/m/017b40,84238.0
MMR vaccine,/m/0j0h0,83901.0
Aspirin,/m/0qkc,83780.0
Lithium carbonate,/m/04mr4,83633.0
Spironolactone,/m/036mpc,83119.0
Celecoxib,/m/02_frj,82971.0
Medical cannabis,/m/017r31,82596.0
Minocycline,/m/01k_w2,80901.0
Botulinum toxin,/m/0b09g,78943.0
Losartan,/m/072klj,78879.0
Lisdexamfetamine,/m/02pp41h,78381.0
Hydrochlorothiazide/Lisinopril,/m/0hqvxsj,77504.0
Valaciclovir,/m/04mt8t,77157.0
Valproate semisodium,/m/09ng_k,76772.0
Estradiol,/m/01h2ty,76748.0
Caffeine,/m/01_7l,76295.0
Niacin,/m/09gvd,75950.0
Tamsulosin,/m/08f4cp,74768.0
Levofloxacin,/m/02mx2z,74586.0
Atenolol,/m/034yzx,73531.0
Hydrochlorothiazide,/m/02nsfz,71212.0
Cyclobenzaprine,/m/03qzr5,71211.0
Clindamycin,/m/02z4qr,70730.0
Methamphetamine,/m/0gt5b,70709.0
Ondansetron,/m/04b72x,70406.0
Desvenlafaxine,/m/0dhxy2,69559.0
Methylprednisolone,/m/05zwj8,69136.0
Fluconazole,/m/03dwr5,69032.0
Crack cocaine,/m/02p0t8t,68739.0
Phenoxymethylpenicillin,/m/057xmsn,68384.0
Furosemide,/m/02fb0h,66726.0
Nitrofurantoin,/m/03554j,66608.0
Losartan/hydrochlorothiazide,/m/0gls0fd,64645.0
Buspirone,/m/03h4bl,64070.0
Buprenorphine,/m/03brks,63396.0
Pantoprazole,/m/02_kw5,62826.0
Penicillin,/m/05t37,61840.0
Gardasil,/m/0dnv87,61309.0
Diclofenac,/m/01_94h,60511.0
Acetylcarnitine,/m/0dqls0,60230.0
Methadone,/m/058gq,59486.0
Guaifenesin,/m/03pnl6,59161.0
Prednisone,/m/02m3m3,58543.0
Drospirenone,/m/07dgdw,58241.0
Co-codamol,/m/04g6dm,58203.0
Lansoprazole,/m/050jb1,57340.0
Magnesium sulfate,/m/01kmqg,56355.0
Magnesium citrate,/m/02853qk,55282.0
Isotretinoin,/m/01hgfy,54917.0
Codeine,/m/0256v,54884.0
Ramipril,/m/04nl9p,54559.0
Olanzapine,/m/019bkd,53999.0
Leuprorelin,/m/04trb9,53429.0
Folic acid,/m/02kb_jm,52695.0
Clarithromycin,/m/019gn6,51612.0
Aciclovir,/m/02xbjr,51546.0
Phenytoin,/m/0cyvn,51063.0
Finasteride,/m/04lr99,51040.0
Dexamethasone,/m/01x1z5,50933.0
Haloperidol,/m/0199v_,50012.0
Terbinafine,/m/048xtq,49685.0
Pravastatin,/m/02z8br,49479.0
Carbamazepine,/m/01_y8,49327.0
Clonidine,/m/02pqvm,48276.0
Vilazodone,/m/04gm573,47854.0
Hydroxychloroquine,/m/071ws0,47714.0
Oxandrolone,/m/07p03s,47338.0
Fluticasone/salmeterol,/m/03gl20,47272.0
Metoclopramide,/m/021xx2,45615.0
Nebivolol,/m/0dmbws,45604.0
